处理时间,文件路径,文件类型,文件大小(bytes),是否为空,敏感词数量,敏感词列表,处理时长(秒),状态,错误信息
2025-03-18 00:59:06,C:\file\sensitive\0b3785e07b196f5e03f513219a41afd9_1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9141,No,0,,0.093,失败,"Excel处理失败: ""There is no item named '[Content_Types].xml' in the archive""，类型: KeyError"
2025-03-18 00:59:06,C:\file\sensitive\00f4d7fcb50351afd336415b37f7cbb6_1,application/vnd.ms-excel,17408,No,2,预算(4处); 财政(3处),0.241,成功,
2025-03-18 00:59:06,C:\file\sensitive\044283519db85390e8819d5cffb5a0aa_1,application/vnd.ms-excel,19456,No,0,,0.243,成功,
2025-03-18 00:59:07,C:\file\sensitive\09935826f6410ab7d19700d9a56a0f10_1,application/vnd.ms-excel,146432,No,3,成本(1处); 应收账款(8处); 周转率(32处),0.265,成功,
2025-03-18 00:59:07,C:\file\sensitive\11850578630e01b23b2213b0a24f6694_1,application/vnd.ms-excel,112640,No,0,,0.265,成功,
2025-03-18 00:59:07,C:\file\sensitive\0d8e9ffa37901dc2cdba7cfbd882a7dc_1,application/vnd.ms-excel,14336,No,0,,0.285,成功,
2025-03-18 00:59:07,C:\file\sensitive\021bc84793ecdfcd1fae59b4d5f76f3b_1,application/vnd.ms-excel,158208,No,0,,0.303,成功,
2025-03-18 00:59:07,C:\file\sensitive\005f0fda8b678d40923eb37d825aa963_1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,17911,No,2,客户代码(3处); 应收账款(2处),0.314,成功,
2025-03-18 00:59:07,C:\file\sensitive\0eae06eb3790c4e2175d1189b07fec21_1,application/vnd.ms-excel,32256,No,2,股权转让(9处); 成本(2处),0.317,成功,
2025-03-18 00:59:07,C:\file\sensitive\05cc09f5f448d58a59e6acbf3259dbcc_1,application/vnd.ms-excel,195072,No,2,股票交易记录(1处); 股票代码(2处),0.333,成功,
2025-03-18 00:59:07,C:\file\sensitive\0165144ce8abf8be2771dce58a5503a4_1,application/vnd.ms-excel,18944,No,3,招聘(1处); 财务报表(1处); 简历(2处),0.348,成功,
2025-03-18 00:59:07,C:\file\sensitive\120123d3658c1a992af55cedade4e8dc_1,application/vnd.ms-excel,22528,No,0,,0.256,成功,
2025-03-18 00:59:07,C:\file\sensitive\06de04ab4ea35a201508dd5456fa0ff5_1,application/vnd.ms-excel,36864,No,0,,0.428,成功,
2025-03-18 00:59:07,C:\file\sensitive\0caee7b41d3f3681b22ec17e18ec0dce_1,application/vnd.ms-excel,20992,No,0,,0.459,成功,
2025-03-18 00:59:07,C:\file\sensitive\0a4c6b4ff5bb53d73b819b56efc56bed_1,application/vnd.ms-excel,1532416,No,2,人力资源(1处); 编制(24处),0.603,成功,
2025-03-18 00:59:07,C:\file\sensitive\14c0324d697e3a060c48c667c76f7830_1,application/vnd.ms-excel,28160,No,2,成本(3处); 销售额(2处),0.357,成功,
2025-03-18 00:59:07,C:\file\sensitive\15547b01f33a4836208d910b163584fe_1,application/vnd.ms-excel,24576,No,4,经办人(1处); 成本(1处); 成本利润率(4处); 财政(1处),0.354,成功,
2025-03-18 00:59:07,C:\file\sensitive\1aa7a916506cada99698ce916d1cb80b_1,application/vnd.ms-excel,23040,No,1,机密(1处),0.047,成功,
2025-03-18 00:59:07,C:\file\sensitive\1ac9f6456af8d8b105625ca8a5e386e8_1,application/vnd.ms-excel,21504,No,0,,0.106,成功,
2025-03-18 00:59:07,C:\file\sensitive\0ea1fecacb8d8e21a0a95d64b6aeef3d,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1427516,No,1,任命书(1处),0.8,成功,
2025-03-18 00:59:08,C:\file\sensitive\1ad874e36e287d9bd6b2d2e5f35520e2_1,application/vnd.ms-excel,1007104,No,0,,0.212,成功,
2025-03-18 00:59:08,C:\file\sensitive\0065c2d2411991ed1290ca2b59d7e4fc_1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9860,No,0,,0.879,成功,
