处理时间,文件路径,文件类型,文件大小(bytes),是否为空,敏感词数量,敏感词列表,处理时长(秒),状态,错误信息
2025-03-21 19:08:23,C:\file\sensitive\0216b88921742da0097f5ceb40e0834e_1,application/msword,211381,No,0,,0.032,成功,
2025-03-21 19:08:23,C:\file\sensitive\021bc84793ecdfcd1fae59b4d5f76f3b_1,application/msword,158208,No,0,,0.143,成功,
2025-03-21 19:08:23,C:\file\sensitive\05cc09f5f448d58a59e6acbf3259dbcc_1,application/msword,195072,No,2,股票交易记录(1处); 股票代码(2处),0.075,成功,
2025-03-21 19:08:23,C:\file\sensitive\09935826f6410ab7d19700d9a56a0f10_1,application/msword,146432,No,3,成本(1处); 应收账款(8处); 周转率(32处),0.282,成功,
2025-03-21 19:08:27,C:\file\sensitive\0a4c6b4ff5bb53d73b819b56efc56bed_1,application/msword,1532416,No,2,人力资源(1处); 编制(24处),3.255,成功,
2025-03-21 19:08:27,C:\file\sensitive\0caa8698bb00d4414a4980f4ad9fa190_1,application/msword,24064,No,0,,0.014,成功,
2025-03-21 19:08:27,C:\file\sensitive\0caee7b41d3f3681b22ec17e18ec0dce_1,application/msword,20992,No,0,,0.031,成功,
2025-03-21 19:08:27,C:\file\sensitive\0eae06eb3790c4e2175d1189b07fec21_1,application/msword,32256,No,2,股权转让(9处); 成本(2处),0.074,成功,
2025-03-21 19:08:27,C:\file\sensitive\11669d7325160a7442a9e3e91fc6d72a_1,application/msword,271165,No,0,,0.036,成功,
2025-03-21 19:08:27,C:\file\sensitive\11850578630e01b23b2213b0a24f6694_1,application/msword,112640,No,0,,0.056,成功,
2025-03-21 19:08:27,C:\file\sensitive\120123d3658c1a992af55cedade4e8dc_1,application/msword,22528,No,0,,0.026,成功,
2025-03-21 19:08:27,C:\file\sensitive\147d6ba0a5a91115038c4cbeef22ea1e_1,application/msword,1537536,No,1,KPI(1处),0.207,成功,
2025-03-21 19:08:27,C:\file\sensitive\14c0324d697e3a060c48c667c76f7830_1,application/msword,28160,No,2,成本(3处); 销售额(2处),0.024,成功,
2025-03-21 19:08:27,C:\file\sensitive\177dfaf1b76d066aa3f07f8ef9a51351_1,application/msword,1319851,No,0,,0.11,成功,
2025-03-21 19:08:27,C:\file\sensitive\17ab22f471c59232d387533a7f19df10_1,application/msword,1306112,No,1,KPI(5处),0.183,成功,
2025-03-21 19:08:27,C:\file\sensitive\1aa7a916506cada99698ce916d1cb80b_1,application/msword,23040,No,1,机密(1处),0.034,成功,
2025-03-21 19:08:29,C:\file\sensitive\1ad874e36e287d9bd6b2d2e5f35520e2_1,application/msword,1007104,No,0,,1.294,成功,
2025-03-21 19:08:29,C:\file\sensitive\1af865ef362b09bc11624d3d66a9493f_1,application/msword,110080,No,0,,0.027,成功,
2025-03-21 19:08:30,C:\file\sensitive\1b97e8d7904cd23b8102a0083483fc66_1,application/msword,143872,No,0,,0.74,成功,
2025-03-21 19:08:30,C:\file\sensitive\1d4c89236488ba56a639691af67a10a5_1,application/msword,39424,No,7,现金流量(46处); 资产负债表(1处); 应收账款(3处); 应付账款(1处); 利润表(1处); 成本(4处); 编制(1处),0.181,成功,
2025-03-21 19:08:30,C:\file\sensitive\1da01e47e7bc75172f0eabd399b06c68_1,application/msword,32256,No,0,,0.021,成功,
2025-03-21 19:08:30,C:\file\sensitive\20dfae5283f67e4d1a0de4038e78b4fe_1,application/msword,20482,No,0,,0.017,成功,
2025-03-21 19:08:30,C:\file\sensitive\225384453c3faff0dd6357f78da20bcc_1,application/msword,137216,No,0,,0.084,成功,
2025-03-21 19:08:31,C:\file\sensitive\25fc75f34d9532729a5e833df937bf90_1,application/msword,1768448,No,2,内部(3处); 编制(6处),0.73,成功,
2025-03-21 19:08:31,C:\file\sensitive\29800bf8c23df3960fe67cd73db971f8,application/msword,95232,No,0,,0.081,成功,
2025-03-21 19:08:31,C:\file\sensitive\29800bf8c23df3960fe67cd73db971f8_2,application/msword,95232,No,0,,0.088,成功,
2025-03-21 19:08:31,C:\file\sensitive\2b2ef2bdf629520481abf5d397b34041_1,application/msword,32768,No,0,,0.021,成功,
2025-03-21 19:08:41,C:\file\sensitive\2c7e9d1b24e721cb77ea5d94c55b5565_1,application/msword,12046336,No,0,,10.429,成功,
2025-03-21 19:08:42,C:\file\sensitive\2da10ffd5e55e6043316020684a0537b_1,application/msword,39424,No,1,预算(3处),0.892,成功,
2025-03-21 19:08:45,C:\file\sensitive\2e9ec5d5b853f252ef2e2ea20df8883a_1,application/msword,146944,No,0,,2.173,成功,
2025-03-21 19:08:46,C:\file\sensitive\3075ea0c85c1d566e1c2f5dc072cdecf_1,application/msword,38912,No,0,,0.879,成功,
2025-03-21 19:08:57,C:\file\sensitive\3215607a8333a2ec11e9169b70e834f4_1,application/msword,5753344,No,0,,10.419,成功,
2025-03-21 19:08:58,C:\file\sensitive\32b02c1799e18463615209159f51f4ab_1,application/msword,29184,No,1,编制(13处),0.914,成功,
2025-03-21 19:08:59,C:\file\sensitive\32ddb406e55a3dca31c3e366751a908e_1,application/msword,24064,No,0,,0.917,成功,
2025-03-21 19:09:01,C:\file\sensitive\33d554b27f2aa44bd85708f62824e7e2_1,application/msword,23040,No,0,,1.354,成功,
